vi1_quantization,vi2_batch_size,vi3_output_length,vi4_context_case,energy_mean,energy_std,throughput_mean,throughput_std,j_per_token_mean,j_per_token_std,tpot_mean,tpot_std,cv_throughput,n_reps,cei
int8_w8a16,1,64,B,142.88643187777777,0.06998489064290213,86.11921111111111,0.22539564674227783,2.2326004980902776,0.0010935139162953458,11.613111111111111,0.029891160591075328,0.002617251642626765,3,0.025265181605281708
int8_w8a16,1,64,C,241.66599252222224,2.3444302141051714,58.035631111111115,0.8103775225599243,3.7760311331597225,0.0366317220953933,17.255333333333333,0.28088214214822693,0.013963448092921282,3,0.010066825578073898
int8_w8a16,1,256,A,612.553249311111,5.992770875747017,106.89112666666666,0.1687148583656268,2.3927861301215274,0.023409261233386786,9.355888888888888,0.01411198597462952,0.0015783803915899925,3,0.029259787707242774
int8_w8a16,1,256,B,652.2464670222222,4.123261141677186,102.46868555555557,0.993492190722166,2.5478377618055554,0.016106488834676507,9.763,0.09902693236354028,0.00969556880070965,3,0.02634224556000303
int8_w8a16,1,256,C,828.1325030777776,5.838193188419651,86.56675222222223,1.3921895653024512,3.234892590147569,0.02280544214226426,11.557444444444444,0.1904836923125898,0.016082266338566256,3,0.017527688957471987
int8_w8a16,1,512,A,1340.5181370777777,3.0269480586371693,108.6913988888889,0.013805112713659721,2.6181994864800346,0.005912007927025721,9.200555555555555,0.001071516751220792,0.00012701200697370907,3,0.027191041559814142
int8_w8a16,1,512,B,1377.0743168333331,4.414578622916645,106.5088988888889,0.06761877684105487,2.6895982750651037,0.008622223872884072,9.389555555555555,0.006012333003764051,0.0006348650445780632,3,0.025937724679304965
int8_w8a16,1,512,C,1579.7559549555556,0.9779423739962059,95.00007111111113,0.015227059369339359,3.0854608495225695,0.0019100436992113396,10.526555555555555,0.001835856849096079,0.00016028471548752032,3,0.020166813821979577
int8_w8a16,4,64,A,641.9262530952382,5.132758129508561,109.27345238095238,0.14398576342134564,2.507524426153274,0.020049836443392817,9.150952380952381,0.012149857925879868,0.0013176646320222374,3,0.028543215134222585
int8_w8a16,4,64,B,758.407133,6.994451176370828,94.85059047619048,1.7739470254919396,2.96252786328125,0.027322074907698547,10.548095238095238,0.2014302600402043,0.018702540665123658,3,0.020970606637243594
int8_w8a16,4,64,C,1333.8808383809524,5.488981722970998,61.528819047619045,0.12111938816917665,5.210472024925595,0.02144133485535546,16.253333333333334,0.03375582590180435,0.001968498502716903,3,0.00773454747935865
int8_w8a16,4,256,A,2810.878934952381,6.326543438797219,113.98734761904763,0.07510998375624205,2.7449989599144344,0.006178265076950409,8.772380952380951,0.004364357804720191,0.0006589326387983723,3,0.027198682202798974
int8_w8a16,4,256,B,2949.9406695714283,6.159954182161957,108.47586666666666,0.23070151416810844,2.880801435128348,0.006015580256017536,9.21857142857143,0.020603150145508082,0.0021267542842227476,3,0.024663414543333876
int8_w8a16,4,256,C,3654.0913814761902,6.886860212861323,90.74611904761905,0.14708958281996454,3.568448614722842,0.0067254494266223855,11.01952380952381,0.018088971345927435,0.0016208911671779511,3,0.016656433373546456
int8_w8a16,4,512,A,5731.042554571429,12.001769445367621,114.45064761904763,0.06070699339959803,2.7983606223493305,0.005860238986995909,8.738095238095239,0.005408484138856696,0.000530420706763177,3,0.02678847384361303
int8_w8a16,4,512,B,5924.82393452381,15.975522022970917,110.14467142857143,0.4211223575162028,2.892980436779204,0.007800547862778768,9.07952380952381,0.03387652649872845,0.003823356609577788,3,0.024937412755068153
int8_w8a16,4,512,C,6809.699698809523,10.732663721518067,97.33831904761905,1.495922348834159,3.3250486810593376,0.005240558457772494,10.275714285714287,0.16005738766748145,0.015368278017029797,3,0.019174287403709824
