task_id,task_type,quant,arm,ctx_media,quality_media,quality_std,n
T11,RECALL,FP16,compaction,4295.0,1.0,0.0,6
T11,RECALL,FP16,naive,5763.5,1.0,0.0,6
T12,FACT,AWQ,compaction,4022.5,1.0,0.0,6
T12,FACT,AWQ,naive,5811.0,1.0,0.0,6
T12,FACT,FP16,compaction,3953.5,1.0,0.0,6
T12,FACT,FP16,naive,5908.5,1.0,0.0,6
T13,SUMMARIZE,AWQ,compaction,4150.5,1.0,0.0,6
T13,SUMMARIZE,AWQ,naive,5940.5,1.0,0.0,6
T13,SUMMARIZE,FP16,compaction,4092.0,1.0,0.0,6
T13,SUMMARIZE,FP16,naive,6038.0,1.0,0.0,6
T14,RECALL,AWQ,compaction,3772.0,1.0,0.0,6
T14,RECALL,AWQ,naive,6047.5,1.0,0.0,6
T14,RECALL,FP16,compaction,4208.0,1.0,0.0,6
T14,RECALL,FP16,naive,6152.5,1.0,0.0,6
T15,SONDA,AWQ,compaction,3892.0,1.0,0.0,6
T15,SONDA,AWQ,naive,6281.3333,0.1667,0.25,9
T15,SONDA,FP16,compaction,3869.5,1.0,0.0,6
T15,SONDA,FP16,naive,6386.0,0.3333,0.5,9
T16,RECALL,AWQ,compaction,4059.5,1.0,0.0,6
T16,RECALL,AWQ,naive,6222.0,1.0,0.0,6
T16,RECALL,FP16,compaction,4051.0,1.0,0.0,6
T16,RECALL,FP16,naive,6351.0,1.0,0.0,6
